system:index,County,ndvi_mean,ndvi_stdDev,year,.geo
0_84_89,2185.0,0.44484753792370707,0.15787392478357715,2008,
0_72_75,2050.0,0.5150635743418129,0.1551342148494658,2008,
0_93_100,2290.0,0.5733477806117465,0.13710920184500827,2008,
0_70_73,2016.0,0.4051739527377589,0.21317003777410157,2008,
0_89_95,2240.0,0.5355962458893713,0.14721691624465244,2008,
0_88_0,,0.3922332316657963,0.33549981604385853,2008,
0_90_96,2261.0,0.43674686441286753,0.25199213247646224,2008,
0_78_83,2122.0,0.45455918305766085,0.24772261380546412,2008,
0_82_87,2170.0,0.46197968744007917,0.23614610610341186,2008,
0_81_86,2164.0,0.44710366080417446,0.19678100297183115,2008,
0_69_72,2013.0,0.527409171841884,0.22393149480794536,2008,
0_85_90,2188.0,0.5507067630389968,0.16419193818690156,2008,
0_83_88,2180.0,0.5207568223617424,0.1720639871806241,2008,
0_2055_2091,32023.0,0.12546588759784164,0.09138695844040226,2008,
0_297_307,6027.0,0.09073764457888742,0.09262218960664108,2008,
0_319_329,6071.0,0.0981090507754428,0.08605427871489607,2008,
0_203_211,4017.0,0.18381511222680424,0.09524197264814753,2008,
0_94_202,4001.0,0.2142611837453778,0.13571473785371174,2008,
0_1481_1508,23017.0,0.7606345800423719,0.11062009648716722,2008,
0_1482_1509,23019.0,0.7597876979827353,0.11959809714740345,2008,
0_1485_1512,23025.0,0.6913635263430501,0.11250887337498534,2008,
0_1474_1501,23003.0,0.7035921330951102,0.11742511740766341,2008,
0_75_79,2090.0,0.5932098977529547,0.13304929327397289,2008,
0_1678_1709,27137.0,0.5269739554433132,0.13795172136668662,2008,
0_2673_2722,46031.0,0.4872217069555204,0.11323366009726371,2008,
0_1902_1936,30017.0,0.3237321685042815,0.10240451252236449,2008,
0_1937_1971,30087.0,0.3129148855902161,0.11147289399458146,2008,
0_1946_1980,30105.0,0.3299874552796439,0.11443325518051131,2008,
0_1910_1944,30033.0,0.30537553132241285,0.08401472008117633,2008,
0_1895_1929,30003.0,0.40079779559129075,0.13815967708569638,2008,
0_3433_3491,56029.0,0.34354906938133156,0.17065020181073054,2008,
0_1927_1961,30067.0,0.47888332272572426,0.15843090078275537,2008,
0_1894_1928,30001.0,0.42591466066127853,0.1637486689206861,2008,
0_1909_1943,30031.0,0.5295789207873108,0.16606082860771712,2008,
0_1918_1952,30049.0,0.4707274269119109,0.163375828669183,2008,
0_1932_1966,30077.0,0.5446126294268742,0.13833450571441103,2008,
0_1908_1942,30029.0,0.6556552101599805,0.14514148739375246,2008,
0_86_0,,0.5885142212792124,0.1807120568346735,2008,
0_92_0,,0.5930209388476364,0.18888765801098517,2008,
0_671_691,16049.0,0.6318618888040213,0.16990670061377802,2008,
0_665_685,16037.0,0.3201215260652093,0.15842280510847923,2008,
0_676_696,16059.0,0.4129894221824696,0.16745090687328582,2008,
0_689_909,16085.0,0.47713681416927367,0.16497166979353756,2008,
0_666_686,16039.0,0.36184884596272004,0.19076495526383722,2008,
0_2527_2572,41045.0,0.20184672937106238,0.10298139146594565,2008,
0_683_903,16073.0,0.2241025638915619,0.12212912586071051,2008,
0_2517_2562,41025.0,0.22427154129650256,0.12983618580772832,2008,
0_2514_2559,41019.0,0.7552346568649944,0.13762411223046842,2008,
0_2524_2569,41039.0,0.7664600676518596,0.1483111688715567,2008,
0_2522_2567,41035.0,0.45392224325111263,0.1334847802905473,2008,
0_2523_2568,41037.0,0.265510808224617,0.16200667252260778,2008,
0_330_340,6093.0,0.5151059838904725,0.17494809633192018,2008,
0_336_346,6105.0,0.5932115347183025,0.1314832143625198,2008,
0_295_305,6023.0,0.6783327905989719,0.12727604493075417,2008,
0_74_78,2070.0,0.609660135444581,0.2197655555790301,2008,
0_80_85,2150.0,0.607577935958817,0.2493513381628138,2008,
0_91_97,2270.0,0.6145203340932417,0.16926223484893926,2008,
0_306_316,6045.0,0.6377909316971778,0.14263376976816758,2008,
0_310_320,6053.0,0.3948739016686529,0.14743697285738486,2008,
0_293_303,6019.0,0.36733471386914873,0.18223446818842123,2008,
0_328_338,6089.0,0.5405852146224147,0.18239776991536835,2008,
0_2058_2094,32031.0,0.17724363807604598,0.10687347531196015,2008,
0_301_311,6035.0,0.3209382702517671,0.1610827741416092,2008,
0_2050_2086,32013.0,0.15225858913574783,0.14213919944926312,2008,
0_2049_2085,32011.0,0.17880964312796974,0.12159263121142126,2008,
0_2051_2087,32015.0,0.15958254103525885,0.10661341665157041,2008,
0_2047_2083,32007.0,0.23163335906144739,0.1344826629180962,2008,
0_2059_2095,32033.0,0.18980133167641608,0.102756715172419,2008,
0_2052_2088,32017.0,0.1479253479528183,0.08349918275985546,2008,
0_309_319,6051.0,0.2369163596893319,0.13808894766468863,2008,
0_202_210,4015.0,0.15957819697490772,0.0714114427112481,2008,
0_2045_2081,32003.0,0.10637063605502632,0.06692966911368667,2008,
