"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Covington County, AL"	"01039"	"2012"	"2012"	17	37955	Unreliable	26.1	71.7	10.9
	"Covington County, AL"	"01039"	"2013"	"2013"	27	37886	71.3	47.0	103.7	13.7
	"Covington County, AL"	"01039"	"2014"	"2014"	23	37914	60.7	38.5	91.0	12.6
	"Covington County, AL"	"01039"	"2015"	"2015"	19	37835	Unreliable	30.2	78.4	11.5
	"Covington County, AL"	"01039"	"2016"	"2016"	21	37458	56.1	34.7	85.7	12.2
	"Cullman County, AL"	"01043"	"2010"	"2010"	15	80406	Unreliable	10.4	30.8	4.8
	"Cullman County, AL"	"01043"	"2011"	"2011"	19	80536	Unreliable	14.2	36.8	5.4
	"Cullman County, AL"	"01043"	"2012"	"2012"	24	80440	29.8	19.1	44.4	6.1
	"Cullman County, AL"	"01043"	"2013"	"2013"	19	80811	Unreliable	14.2	36.7	5.4
	"Cullman County, AL"	"01043"	"2014"	"2014"	21	81289	25.8	16.0	39.5	5.6
	"Cullman County, AL"	"01043"	"2015"	"2015"	19	82005	Unreliable	13.9	36.2	5.3
	"Cullman County, AL"	"01043"	"2016"	"2016"	22	82471	26.7	16.7	40.4	5.7
	"Dale County, AL"	"01045"	"2010"	"2010"	12	50251	Unreliable	12.3	41.7	6.9
	"Dale County, AL"	"01045"	"2011"	"2011"	12	50044	Unreliable	12.4	41.9	6.9
	"Dale County, AL"	"01045"	"2012"	"2012"	12	50444	Unreliable	12.3	41.6	6.9
	"Dale County, AL"	"01045"	"2013"	"2013"	16	49884	Unreliable	18.3	52.1	8.0
	"Dale County, AL"	"01045"	"2014"	"2014"	11	49484	Unreliable	11.1	39.8	6.7
	"Dale County, AL"	"01045"	"2015"	"2015"	13	49565	Unreliable	14.0	44.9	7.3
	"Dallas County, AL"	"01047"	"2010"	"2010"	20	43820	45.6	27.9	70.5	10.2
	"Dallas County, AL"	"01047"	"2011"	"2011"	23	43332	53.1	33.6	79.6	11.1
	"Dallas County, AL"	"01047"	"2012"	"2012"	28	42864	65.3	43.4	94.4	12.3
	"Dallas County, AL"	"01047"	"2013"	"2013"	32	41996	76.2	52.1	107.6	13.5
	"Dallas County, AL"	"01047"	"2014"	"2014"	26	41711	62.3	40.7	91.3	12.2
	"Dallas County, AL"	"01047"	"2015"	"2015"	20	41131	48.6	29.7	75.1	10.9
	"Dallas County, AL"	"01047"	"2016"	"2016"	23	40008	57.5	36.4	86.3	12.0
	"DeKalb County, AL"	"01049"	"2010"	"2010"	20	71109	28.1	17.2	43.4	6.3
	"DeKalb County, AL"	"01049"	"2011"	"2011"	15	71375	Unreliable	11.8	34.7	5.4
	"DeKalb County, AL"	"01049"	"2012"	"2012"	11	71080	Unreliable	7.7	27.7	4.7
	"DeKalb County, AL"	"01049"	"2013"	"2013"	17	71013	Unreliable	13.9	38.3	5.8
	"DeKalb County, AL"	"01049"	"2014"	"2014"	14	71065	Unreliable	10.8	33.1	5.3
	"DeKalb County, AL"	"01049"	"2015"	"2015"	24	71130	33.7	21.6	50.2	6.9
	"DeKalb County, AL"	"01049"	"2016"	"2016"	19	70900	Unreliable	16.1	41.8	6.1
	"Elmore County, AL"	"01051"	"2010"	"2010"	12	79303	Unreliable	7.8	26.4	4.4
	"Elmore County, AL"	"01051"	"2011"	"2011"	17	80162	Unreliable	12.4	34.0	5.1
	"Elmore County, AL"	"01051"	"2012"	"2012"	20	80629	24.8	15.2	38.3	5.5
	"Elmore County, AL"	"01051"	"2013"	"2013"	26	80902	32.1	21.0	47.1	6.3
	"Elmore County, AL"	"01051"	"2014"	"2014"	23	80977	28.4	18.0	42.6	5.9
	"Elmore County, AL"	"01051"	"2015"	"2015"	31	81468	38.1	25.9	54.0	6.8
	"Elmore County, AL"	"01051"	"2016"	"2016"	19	81799	Unreliable	14.0	36.3	5.3
	"Escambia County, AL"	"01053"	"2010"	"2010"	10	38319	Unreliable	12.5	48.0	8.3
	"Escambia County, AL"	"01053"	"2013"	"2013"	13	37983	Unreliable	18.2	58.5	9.5
	"Escambia County, AL"	"01053"	"2014"	"2014"	19	37733	Unreliable	30.3	78.6	11.6
	"Escambia County, AL"	"01053"	"2015"	"2015"	15	37789	Unreliable	22.2	65.5	10.2
	"Escambia County, AL"	"01053"	"2016"	"2016"	13	37728	Unreliable	18.3	58.9	9.6
	"Etowah County, AL"	"01055"	"2010"	"2010"	46	104430	44.0	32.2	58.8	6.5
	"Etowah County, AL"	"01055"	"2011"	"2011"	33	104303	31.6	21.8	44.4	5.5
	"Etowah County, AL"	"01055"	"2012"	"2012"	48	104392	46.0	33.9	61.0	6.6
	"Etowah County, AL"	"01055"	"2013"	"2013"	41	103931	39.4	28.3	53.5	6.2
	"Etowah County, AL"	"01055"	"2014"	"2014"	57	103531	55.1	41.7	71.3	7.3
	"Etowah County, AL"	"01055"	"2015"	"2015"	45	103057	43.7	31.8	58.4	6.5
	"Etowah County, AL"	"01055"	"2016"	"2016"	32	102564	31.2	21.3	44.0	5.5
	"Fayette County, AL"	"01057"	"2010"	"2010"	10	17241	Unreliable	27.8	106.7	18.3
	"Fayette County, AL"	"01057"	"2016"	"2016"	10	16546	Unreliable	29.0	111.1	19.1
	"Franklin County, AL"	"01059"	"2012"	"2012"	15	31761	Unreliable	26.4	77.9	12.2
	"Franklin County, AL"	"01059"	"2013"	"2013"	13	31532	Unreliable	22.0	70.5	11.4
	"Franklin County, AL"	"01059"	"2015"	"2015"	11	31696	Unreliable	17.3	62.1	10.5
	"Houston County, AL"	"01069"	"2010"	"2010"	17	101547	Unreliable	9.8	26.8	4.1
	"Houston County, AL"	"01069"	"2011"	"2011"	28	102369	27.4	18.2	39.5	5.2
	"Houston County, AL"	"01069"	"2012"	"2012"	14	103402	Unreliable	7.4	22.7	3.6
	"Houston County, AL"	"01069"	"2013"	"2013"	22	103668	21.2	13.3	32.1	4.5
	"Houston County, AL"	"01069"	"2014"	"2014"	26	104193	25.0	16.3	36.6	4.9
	"Houston County, AL"	"01069"	"2015"	"2015"	17	104173	Unreliable	9.5	26.1	4.0
	"Houston County, AL"	"01069"	"2016"	"2016"	21	104056	20.2	12.5	30.8	4.4
	"Jackson County, AL"	"01071"	"2010"	"2010"	13	53227	Unreliable	13.0	41.8	6.8
	"Jackson County, AL"	"01071"	"2011"	"2011"	13	53291	Unreliable	13.0	41.7	6.8
	"Jackson County, AL"	"01071"	"2012"	"2012"	13	53019	Unreliable	13.1	41.9	6.8
	"Jackson County, AL"	"01071"	"2014"	"2014"	10	52665	Unreliable	9.1	34.9	6.0
	"Jackson County, AL"	"01071"	"2015"	"2015"	13	52419	Unreliable	13.2	42.4	6.9
	"Jefferson County, AL"	"01073"	"2010"	"2010"	246	658466	37.4	32.7	42.0	2.4
	"Jefferson County, AL"	"01073"	"2011"	"2011"	247	658931	37.5	32.8	42.2	2.4
	"Jefferson County, AL"	"01073"	"2012"	"2012"	245	660009	37.1	32.5	41.8	2.4
	"Jefferson County, AL"	"01073"	"2013"	"2013"	264	659479	40.0	35.2	44.9	2.5
	"Jefferson County, AL"	"01073"	"2014"	"2014"	262	660793	39.6	34.8	44.5	2.4
	"Jefferson County, AL"	"01073"	"2015"	"2015"	285	660367	43.2	38.1	48.2	2.6
	"Jefferson County, AL"	"01073"	"2016"	"2016"	236	659521	35.8	31.2	40.3	2.3
	"Lamar County, AL"	"01075"	"2011"	"2011"	10	14311	Unreliable	33.5	128.5	22.1
	"Lauderdale County, AL"	"01077"	"2010"	"2010"	13	92709	Unreliable	7.5	24.0	3.9
	"Lauderdale County, AL"	"01077"	"2011"	"2011"	23	92781	24.8	15.7	37.2	5.2
	"Lauderdale County, AL"	"01077"	"2012"	"2012"	17	92542	Unreliable	10.7	29.4	4.5
	"Lauderdale County, AL"	"01077"	"2013"	"2013"	20	92797	21.6	13.2	33.3	4.8
	"Lauderdale County, AL"	"01077"	"2014"	"2014"	21	93096	22.6	14.0	34.5	4.9
	"Lauderdale County, AL"	"01077"	"2015"	"2015"	23	92596	24.8	15.7	37.3	5.2
	"Lauderdale County, AL"	"01077"	"2016"	"2016"	23	92318	24.9	15.8	37.4	5.2
	"Lawrence County, AL"	"01079"	"2011"	"2011"	16	34117	Unreliable	26.8	76.2	11.7
	"Lawrence County, AL"	"01079"	"2014"	"2014"	11	33477	Unreliable	16.4	58.8	9.9
	"Lawrence County, AL"	"01079"	"2015"	"2015"	13	33115	Unreliable	20.9	67.1	10.9
	"Lee County, AL"	"01081"	"2010"	"2010"	16	140247	Unreliable	6.5	18.5	2.9
	"Lee County, AL"	"01081"	"2011"	"2011"	23	143468	16.0	10.2	24.1	3.3
	"Lee County, AL"	"01081"	"2012"	"2012"	22	147257	14.9	9.4	22.6	3.2
	"Lee County, AL"	"01081"	"2013"	"2013"	38	150933	25.2	17.8	34.6	4.1
	"Lee County, AL"	"01081"	"2014"	"2014"	40	154255	25.9	18.5	35.3	4.1
	"Lee County, AL"	"01081"	"2015"	"2015"	27	156993	17.2	11.3	25.0	3.3
	"Lee County, AL"	"01081"	"2016"	"2016"	32	158991	20.1	13.8	28.4	3.6
	"Limestone County, AL"	"01083"	"2010"	"2010"	17	82782	Unreliable	12.0	32.9	5.0
	"Limestone County, AL"	"01083"	"2011"	"2011"	15	85369	Unreliable	9.8	29.0	4.5
	"Limestone County, AL"	"01083"	"2012"	"2012"	19	87654	Unreliable	13.1	33.8	5.0
	"Limestone County, AL"	"01083"	"2013"	"2013"	10	88845	Unreliable	5.4	20.7	3.6
	"Limestone County, AL"	"01083"	"2014"	"2014"	21	90787	23.1	14.3	35.4	5.0
	"Limestone County, AL"	"01083"	"2015"	"2015"	15	91663	Unreliable	9.2	27.0	4.2
	"Limestone County, AL"	"01083"	"2016"	"2016"	15	92753	Unreliable	9.1	26.7	4.2
	"Macon County, AL"	"01087"	"2014"	"2014"	14	19425	Unreliable	39.4	120.9	19.3
	"Macon County, AL"	"01087"	"2016"	"2016"	10	18963	Unreliable	25.3	97.0	16.7
	"Madison County, AL"	"01089"	"2010"	"2010"	57	334811	17.0	12.9	22.1	2.3
	"Madison County, AL"	"01089"	"2011"	"2011"	62	340111	18.2	14.0	23.4	2.3
	"Madison County, AL"	"01089"	"2012"	"2012"	69	343080	20.1	15.6	25.5	2.4
	"Madison County, AL"	"01089"	"2013"	"2013"	64	346892	18.4	14.2	23.6	2.3
	"Madison County, AL"	"01089"	"2014"	"2014"	71	350299	20.3	15.8	25.6	2.4
	"Madison County, AL"	"01089"	"2015"	"2015"	77	353089	21.8	17.2	27.3	2.5
	"Madison County, AL"	"01089"	"2016"	"2016"	70	356967	19.6	15.3	24.8	2.3
	"Marengo County, AL"	"01091"	"2013"	"2013"	10	20155	Unreliable	23.8	91.2	15.7
	"Marengo County, AL"	"01091"	"2016"	"2016"	10	19673	Unreliable	24.4	93.5	16.1
	"Marion County, AL"	"01093"	"2010"	"2010"	15	30776	Unreliable	27.3	80.4	12.6
	"Marion County, AL"	"01093"	"2016"	"2016"	13	29998	Unreliable	23.1	74.1	12.0
	"Marshall County, AL"	"01095"	"2010"	"2010"	29	93019	31.2	20.9	44.8	5.8
	"Marshall County, AL"	"01095"	"2011"	"2011"	18	94166	Unreliable	11.3	30.2	4.5
	"Marshall County, AL"	"01095"	"2012"	"2012"	24	94776	25.3	16.2	37.7	5.2
	"Marshall County, AL"	"01095"	"2013"	"2013"	24	94760	25.3	16.2	37.7	5.2
	"Marshall County, AL"	"01095"	"2014"	"2014"	22	94636	23.2	14.6	35.2	5.0
	"Marshall County, AL"	"01095"	"2015"	"2015"	24	94725	25.3	16.2	37.7	5.2
	"Marshall County, AL"	"01095"	"2016"	"2016"	25	95157	26.3	17.0	38.8	5.3
	"Mobile County, AL"	"01097"	"2010"	"2010"	122	412992	29.5	24.3	34.8	2.7
	"Mobile County, AL"	"01097"	"2011"	"2011"	115	412577	27.9	22.8	33.0	2.6
	"Mobile County, AL"	"01097"	"2012"	"2012"	152	413936	36.7	30.9	42.6	3.0
	"Mobile County, AL"	"01097"	"2013"	"2013"	124	414079	29.9	24.7	35.2	2.7
	"Mobile County, AL"	"01097"	"2014"	"2014"	142	415123	34.2	28.6	39.8	2.9
	"Mobile County, AL"	"01097"	"2015"	"2015"	165	415395	39.7	33.7	45.8	3.1
	"Mobile County, AL"	"01097"	"2016"	"2016"	156	414836	37.6	31.7	43.5	3.0
	"Montgomery County, AL"	"01101"	"2010"	"2010"	68	229363	29.6	23.0	37.6	3.6
	"Montgomery County, AL"	"01101"	"2011"	"2011"	56	232032	24.1	18.2	31.3	3.2
	"Montgomery County, AL"	"01101"	"2012"	"2012"	74	230149	32.2	25.2	40.4	3.7
	"Montgomery County, AL"	"01101"	"2013"	"2013"	75	226659	33.1	26.0	41.5	3.8
	"Montgomery County, AL"	"01101"	"2014"	"2014"	82	226189	36.3	28.8	45.0	4.0
	"Montgomery County, AL"	"01101"	"2015"	"2015"	64	226519	28.3	21.8	36.1	3.5
	"Montgomery County, AL"	"01101"	"2016"	"2016"	78	226349	34.5	27.2	43.0	3.9
	"Morgan County, AL"	"01103"	"2010"	"2010"	21	119490	17.6	10.9	26.9	3.8
	"Morgan County, AL"	"01103"	"2011"	"2011"	25	119953	20.8	13.5	30.8	4.2
	"Morgan County, AL"	"01103"	"2012"	"2012"	19	120395	Unreliable	9.5	24.6	3.6
	"Morgan County, AL"	"01103"	"2013"	"2013"	23	119787	19.2	12.2	28.8	4.0
	"Morgan County, AL"	"01103"	"2014"	"2014"	22	119607	18.4	11.5	27.8	3.9
	"Morgan County, AL"	"01103"	"2015"	"2015"	26	119565	21.7	14.2	31.9	4.3
	"Morgan County, AL"	"01103"	"2016"	"2016"	30	119012	25.2	17.0	36.0	4.6
	"Pickens County, AL"	"01107"	"2015"	"2015"	12	20864	Unreliable	29.7	100.5	16.6
	"Pike County, AL"	"01109"	"2011"	"2011"	20	32915	60.8	37.1	93.8	13.6
	"Pike County, AL"	"01109"	"2012"	"2012"	19	33182	Unreliable	34.5	89.4	13.1
	"Pike County, AL"	"01109"	"2013"	"2013"	21	33339	63.0	39.0	96.3	13.7
	"Pike County, AL"	"01109"	"2014"	"2014"	11	33389	Unreliable	16.4	58.9	9.9
	"Pike County, AL"	"01109"	"2015"	"2015"	14	33046	Unreliable	23.2	71.1	11.3
	"Randolph County, AL"	"01111"	"2010"	"2010"	11	22913	Unreliable	24.0	85.9	14.5
	"Randolph County, AL"	"01111"	"2011"	"2011"	10	22787	Unreliable	21.0	80.7	13.9
	"Randolph County, AL"	"01111"	"2014"	"2014"	10	22539	Unreliable	21.3	81.6	14.0
	"Russell County, AL"	"01113"	"2010"	"2010"	19	52947	Unreliable	21.6	56.0	8.2
	"Russell County, AL"	"01113"	"2011"	"2011"	22	54572	40.3	25.3	61.0	8.6
	"Russell County, AL"	"01113"	"2012"	"2012"	12	57820	Unreliable	10.7	36.3	6.0
	"Russell County, AL"	"01113"	"2013"	"2013"	11	59585	Unreliable	9.2	33.0	5.6
	"Russell County, AL"	"01113"	"2014"	"2014"	10	59608	Unreliable	8.0	30.9	5.3
	"Russell County, AL"	"01113"	"2015"	"2015"	26	59660	43.6	28.5	63.9	8.5
	"Russell County, AL"	"01113"	"2016"	"2016"	20	58172	34.4	21.0	53.1	7.7
	"St. Clair County, AL"	"01115"	"2010"	"2010"	19	83593	Unreliable	13.7	35.5	5.2
	"St. Clair County, AL"	"01115"	"2011"	"2011"	24	84398	28.4	18.2	42.3	5.8
	"St. Clair County, AL"	"01115"	"2012"	"2012"	20	85237	23.5	14.3	36.2	5.2
	"St. Clair County, AL"	"01115"	"2013"	"2013"	29	86308	33.6	22.5	48.3	6.2
	"St. Clair County, AL"	"01115"	"2014"	"2014"	32	86697	36.9	25.2	52.1	6.5
	"St. Clair County, AL"	"01115"	"2015"	"2015"	28	87074	32.2	21.4	46.5	6.1
	"St. Clair County, AL"	"01115"	"2016"	"2016"	20	88019	22.7	13.9	35.1	5.1
	"Shelby County, AL"	"01117"	"2010"	"2010"	29	195085	14.9	10.0	21.3	2.8
	"Shelby County, AL"	"01117"	"2011"	"2011"	34	197936	17.2	11.9	24.0	2.9
	"Shelby County, AL"	"01117"	"2012"	"2012"	29	200941	14.4	9.7	20.7	2.7
	"Shelby County, AL"	"01117"	"2013"	"2013"	40	204180	19.6	14.0	26.7	3.1
	"Shelby County, AL"	"01117"	"2014"	"2014"	48	206655	23.2	17.1	30.8	3.4
	"Shelby County, AL"	"01117"	"2015"	"2015"	41	208713	19.6	14.1	26.6	3.1
	"Shelby County, AL"	"01117"	"2016"	"2016"	39	210622	18.5	13.2	25.3	3.0
	"Talladega County, AL"	"01121"	"2010"	"2010"	40	82291	48.6	34.7	66.2	7.7
	"Talladega County, AL"	"01121"	"2011"	"2011"	27	81664	33.1	21.8	48.1	6.4
	"Talladega County, AL"	"01121"	"2012"	"2012"	29	81762	35.5	23.8	50.9	6.6
	"Talladega County, AL"	"01121"	"2013"	"2013"	28	81096	34.5	22.9	49.9	6.5
	"Talladega County, AL"	"01121"	"2014"	"2014"	34	81322	41.8	29.0	58.4	7.2
	"Talladega County, AL"	"01121"	"2015"	"2015"	33	80862	40.8	28.1	57.3	7.1
	"Talladega County, AL"	"01121"	"2016"	"2016"	27	80103	33.7	22.2	49.0	6.5
	"Tallapoosa County, AL"	"01123"	"2010"	"2010"	15	41616	Unreliable	20.2	59.4	9.3
	"Tallapoosa County, AL"	"01123"	"2011"	"2011"	19	41623	Unreliable	27.5	71.3	10.5
	"Tallapoosa County, AL"	"01123"	"2012"	"2012"	19	41168	Unreliable	27.8	72.1	10.6
	"Tallapoosa County, AL"	"01123"	"2013"	"2013"	16	41203	Unreliable	22.2	63.1	9.7
	"Tallapoosa County, AL"	"01123"	"2014"	"2014"	18	41165	Unreliable	25.9	69.1	10.3
	"Tallapoosa County, AL"	"01123"	"2015"	"2015"	17	40844	Unreliable	24.2	66.6	10.1
	"Tallapoosa County, AL"	"01123"	"2016"	"2016"	19	40727	Unreliable	28.1	72.9	10.7
	"Tuscaloosa County, AL"	"01125"	"2010"	"2010"	43	194656	22.1	16.0	29.8	3.4
	"Tuscaloosa County, AL"	"01125"	"2011"	"2011"	53	197211	26.9	20.1	35.2	3.7
	"Tuscaloosa County, AL"	"01125"	"2012"	"2012"	44	198596	22.2	16.1	29.7	3.3
	"Tuscaloosa County, AL"	"01125"	"2013"	"2013"	34	200821	16.9	11.7	23.7	2.9
	"Tuscaloosa County, AL"	"01125"	"2014"	"2014"	62	202212	30.7	23.5	39.3	3.9
	"Tuscaloosa County, AL"	"01125"	"2015"	"2015"	41	203976	20.1	14.4	27.3	3.1
	"Tuscaloosa County, AL"	"01125"	"2016"	"2016"	60	206102	29.1	22.2	37.5	3.8
	"Walker County, AL"	"01127"	"2010"	"2010"	25	67023	37.3	24.1	55.1	7.5
	"Walker County, AL"	"01127"	"2011"	"2011"	27	66661	40.5	26.7	58.9	7.8
	"Walker County, AL"	"01127"	"2012"	"2012"	24	66221	36.2	23.2	53.9	7.4
	"Walker County, AL"	"01127"	"2013"	"2013"	22	65998	33.3	20.9	50.5	7.1
	"Walker County, AL"	"01127"	"2014"	"2014"	38	65471	58.0	41.1	79.7	9.4
	"Walker County, AL"	"01127"	"2015"	"2015"	31	65294	47.5	32.3	67.4	8.5
	"Walker County, AL"	"01127"	"2016"	"2016"	28	64967	43.1	28.6	62.3	8.1
	"Washington County, AL"	"01129"	"2013"	"2013"	10	16877	Unreliable	28.4	109.0	18.7
	"Washington County, AL"	"01129"	"2014"	"2014"	10	16834	Unreliable	28.5	109.2	18.8
	"Winston County, AL"	"01133"	"2010"	"2010"	11	24484	Unreliable	22.4	80.4	13.5
	"Winston County, AL"	"01133"	"2012"	"2012"	11	24108	Unreliable	22.8	81.6	13.8
	"Winston County, AL"	"01133"	"2016"	"2016"	12	23805	Unreliable	26.0	88.1	14.6
	"Anchorage Borough, AK"	"02020"	"2010"	"2010"	29	291826	9.9	6.7	14.3	1.8
	"Anchorage Borough, AK"	"02020"	"2011"	"2011"	40	295570	13.5	9.7	18.4	2.1
	"Anchorage Borough, AK"	"02020"	"2012"	"2012"	49	298610	16.4	12.1	21.7	2.3
	"Anchorage Borough, AK"	"02020"	"2013"	"2013"	37	300950	12.3	8.7	16.9	2.0
	"Anchorage Borough, AK"	"02020"	"2014"	"2014"	42	301010	14.0	10.1	18.9	2.2
	"Anchorage Borough, AK"	"02020"	"2015"	"2015"	30	298695	10.0	6.8	14.3	1.8
	"Anchorage Borough, AK"	"02020"	"2016"	"2016"	44	298192	14.8	10.7	19.8	2.2
	"Fairbanks North Star Borough, AK"	"02090"	"2010"	"2010"	14	97581	Unreliable	7.8	24.1	3.8
	"Fairbanks North Star Borough, AK"	"02090"	"2011"	"2011"	10	99192	Unreliable	4.8	18.5	3.2
	"Fairbanks North Star Borough, AK"	"02090"	"2014"	"2014"	13	99357	Unreliable	7.0	22.4	3.6
	"Fairbanks North Star Borough, AK"	"02090"	"2015"	"2015"	13	99631	Unreliable	6.9	22.3	3.6
	"Kenai Peninsula Borough, AK"	"02122"	"2010"	"2010"	11	55400	Unreliable	9.9	35.5	6.0
	"Kenai Peninsula Borough, AK"	"02122"	"2014"	"2014"	11	57477	Unreliable	9.6	34.2	5.8
	"Kenai Peninsula Borough, AK"	"02122"	"2015"	"2015"	10	58059	Unreliable	8.3	31.7	5.4
	"Kenai Peninsula Borough, AK"	"02122"	"2016"	"2016"	11	58506	Unreliable	9.4	33.6	5.7
	"Matanuska-Susitna Borough, AK"	"02170"	"2012"	"2012"	13	93925	Unreliable	7.4	23.7	3.8
	"Matanuska-Susitna Borough, AK"	"02170"	"2013"	"2013"	11	95192	Unreliable	5.8	20.7	3.5
	"Matanuska-Susitna Borough, AK"	"02170"	"2014"	"2014"	12	97882	Unreliable	6.3	21.4	3.5
	"Matanuska-Susitna Borough, AK"	"02170"	"2016"	"2016"	16	104365	Unreliable	8.8	24.9	3.8
	"Apache County, AZ"	"04001"	"2010"	"2010"	22	71518	30.8	19.3	46.6	6.6
	"Apache County, AZ"	"04001"	"2011"	"2011"	19	72401	Unreliable	15.8	41.0	6.0
